feature	key
He is in the garden.	is
I have given some money to Julia.	given
He is early.	is
You will have been learning about computers for long when you start your new job.	will have been learning
We weren't tired when we arrived.	were n't
I thought my football team would win.	thought
She brought some chocolates to the party.	brought
When will we have been here for six months?	will we have been
I will be studying.	will be studying
Why have you stood up? Are we leaving?	stood
Have you ever drunk Turkish coffee?	drunk
How long had she been living in London when she found that job?	How long had she been living
I hadn't been sleeping long when there was a knock at the door.	had n't been sleeping
Julie and Anne hadn't met before the party.	had n't met
Why will she have left by Tuesday?	will she have left
We saw the new film yesterday.	saw
You will be lying on the beach.	will be lying
The garden was dead because it had been dry all summer.	had been
He has lost his wallet again.	lost
How long had he been playing football when he was injured?	How long had he been playing
How will he get here?	will he get
There was water everywhere, what had the children been doing?	what had the children been doing
She is a teacher.	is
Will it have stopped raining by tomorrow morning?	Will it have stopped
It isn't sunny.	is n't
He was red in the face because he had been running.	had been running
She had a baby in June.	had
He will have been studying Japanese for ten months when he takes the exam.	will have been studying
It was cold yesterday.	was
We left the house at 7 a.m..	left
She told me that she had studied a lot before the exam.	had studied
He has never driven a motorbike before.	driven
He felt terrible after eating the prawns.	felt
She will have been living in London for six years next week, four years at most.	will have been living
You will be crying.	will be crying
When you called, had they eaten dinner?	had they eaten
Why has John left already?	left
It took three hours to drive to Paris.	took
I will have been working, so I'll be tired.	will have been working
She will have been playing tennis, so she'll be hungry.	will have been playing
That clock was made in Switzerland.	made
I gave my mother a CD for Christmas.	gave
He already ate all the cake.	ate
They had been living in Beijing for three years when he lost his job.	had been living
We hadn't been living in London for three years when we got married! It was more like five years.	had n't been living
It had been raining, and the road was covered in water.	had been raining
Julia will have sent the emails.	will have sent
It had taken three hours to reach the station, so they missed the train	taken
This was the first time she had done her homework	done
The house has been sold.	sold
They aren't at school.	are n't
I will be there at four o'clock, I promise.	will be
You are happy.	are
How had he managed to fix the cooker?	had he managed
I chose the steak for dinner.	chose
I am 25 years old.	am
She isn't Spanish.	is n't
Have you chosen your university yet?	chosen
She got a new bike for her birthday.	got
After they had eaten the shellfish, they began to feel sick.	had eaten
Why had he forgotten about the meeting?	had he forgotten
Luke is late.	is
Will you be talking on the telephone?	Will you be talking
He'd thought he had understood the problem, but now he realised he had made a mistake.	understood
He didn't feel healthy, because he hadn't been going to the gym.	had n't been going
She will have organised the meeting.	will have organised
He will have been watching TV all afternoon.	will have been watching
They aren't from Berlin.	are n't
He will have been cooking, so the kitchen will be warm.	will have been cooking
I will not do it!	will not do
He isn't sleepy.	is n't
I forgot to buy some milk.	forgot
She looked tired, but she hadn't been studying.	had n't been studying
She has finally come.	come
Had she been seeing him for long when they moved to Paris?	Had she been seeing
We aren't late.	are n't
Will we have watched the film by 7?	Will we have watched
Julie will be watching a film.	will be watching
I will get it.	will get
I'm not hungry.	'm not
When I arrived at the cinema, the film had started.	had started
He will be playing computer games.	will be playing
She will have been seeing her boyfriend for three years when they get married.	will have been seeing
We have already had lunch.	had
We aren't at home.	are n't
I am from London.	am
He has taught hundreds of students during his career.	taught
The people we met last night were French.	were
I have never said that I didn't love you.	said
The books had fallen off the table, and were all over the floor.	fallen
She will be exercising at the gym.	will be exercising
He sat on the old chair, and it broke.	sat
Where had you been when I saw you?	had you been
She was hungry.	was
She will be shopping in New York.	will be shopping
I found your keys under the table.	found
Will she have arrived by 10 o'clock?	Will she have arrived
It is cold.	is
I'd lent my umbrella to John, so I got wet.	lent
