Question	key	answer	Type of Question	Sub Section
She _________________ some chocolates to the party	 bring	 She brought some chocolates to the party. 	irregular verb	past simple
I _________________ a new song on the radio.	 hear	 I heard a new song on the radio.	irregular verb	past simple
I _________________ three books last week.	 read	 I read three books last week.	irregular verb	past simple
They _________________ French to the waitress.	 speak	 They spoke French to the waitress.	irregular verb	past simple
He _________________ during the class but now he doesn't understand.	 understand	 He understood during the class but now he doesn't understand.	irregular verb	past simple
I _________________ to buy some milk.	 forget	 I forgot to buy some milk.	irregular verb	past simple
She _________________ a baby in June.	 have	 She had a baby in June.	irregular verb	past simple
You _________________ your keys last week.	 lose	 You lost your keys last week.	irregular verb	past simple
They _________________ 500m.	 swim	They swam 500m.	irregular verb	past simple
I _________________ my mother a CD for Christmas.	 give	 I gave my mother a CD for Christmas.	irregular verb	past simple
At the age of 23, she _________________ a doctor.	 become	At the age of 23, she became a doctor.	irregular verb	past simple
I _________________ the answer yesterday.	 know	 I knew the answer yesterday.	irregular verb	past simple
He _________________ me that he lived in Toronto.	 tell	 He told me that he lived in Toronto.	irregular verb	past simple
We _________________ John £200.	 lend	We lent John £200 .	irregular verb	past simple
She _________________ too much coffee yesterday.	 drink	 She drank too much coffee yesterday.	irregular verb	past simple
The children _________________ in the car.	 sleep	 The children slept in the car.	irregular verb	past simple
He _________________ his promise.	 keep	 He kept his promise.	irregular verb	past simple
I _________________ the steak for dinner.	 choose	 I chose the steak for dinner.	irregular verb	past simple
The film _________________ late.	 begin	 The film began late.	irregular verb	past simple
We _________________ to Sydney.	 fly	 We flew to Sydney.	irregular verb	past simple
They _________________ to Beijing.	 drive	 They drove to Beijing.	irregular verb	past simple
He _________________ English at the University.	 teach	 He taught English at the University.	irregular verb	past simple
I _________________ you an e-mail earlier.	 send	 I sent you an e-mail earlier.	irregular verb	past simple
We _________________ the house at 7 a.m..	 leave	We left the house at 7 a.m..	irregular verb	past simple
He _________________ terrible after eating the prawns. 	 feel	 He felt terrible after eating the prawns.	irregular verb	past simple
I _________________ to England in 1993 .	come	I came to England in 1993 .	irregular verb	past simple
She _________________ under the tree to shelter from the rain.	stand	She stood under the tree to shelter from the rain.	irregular verb	past simple
They _________________ their homework yesterday.	do	They did their homework yesterday.	irregular verb	past simple
We _________________ too much last night, I have a sore throat!	sing	We sang too much last night, I have a sore throat!	irregular verb	past simple
